"order_id","customer_id","order_date","shipping_city","shipping_state","shipping_region","shipping_country","shipping_postal_code","shipping_date","shipping_mode","order_details_id","product_id","quantity","order_discount","order_profits","order_profit_ratio","order_sales","customer_name","customer_segment","product_name","product_category","product_subcategory","product_manufacturer"
"CA-2015-100881","195","2015-03-28 00:00:00","Albuquerque","New Mexico","West","United States","87105","2015-04-01 00:00:00","Standard Class","32","163","3","0.2","23","0.08","302","Daniel Raglin","Home Office","AT&T TR1909W","Technology","Phones","AT&T"
"CA-2015-100895","718","2015-06-02 00:00:00","Roswell","Georgia","South","United States","30076","2015-06-06 00:00:00","Standard Class","33","1414","2","0","3","0.31","9","Stewart Visinsky","Consumer","Sanford Colorific Scented Colored Pencils, 12/Pack","Office Supplies","Art","Sanford"
"CA-2015-100895","718","2015-06-02 00:00:00","Roswell","Georgia","South","United States","30076","2015-06-06 00:00:00","Standard Class","34","1103","3","0","67","0.28","240","Stewart Visinsky","Consumer","Mophie Juice Pack Helium for iPhone","Technology","Phones","Other"
"CA-2015-100895","718","2015-06-02 00:00:00","Roswell","Georgia","South","United States","30076","2015-06-06 00:00:00","Standard Class","35","866","2","0","107","0.3","357","Stewart Visinsky","Consumer","Hot File 7-Pocket, Floor Stand","Office Supplies","Storage","Other"
"CA-2015-100916","284","2015-10-21 00:00:00","Newport News","Virginia","South","United States","23602","2015-10-26 00:00:00","Standard Class","36","1417","1","0","1","0.31","3","Frank Hawley","Corporate","SANFORD Liquid Accent Tank-Style Highlighters","Office Supplies","Art","Sanford"
"CA-2015-100916","284","2015-10-21 00:00:00","Newport News","Virginia","South","United States","23602","2015-10-26 00:00:00","Standard Class","37","557","5","0","10","0.05","195","Frank Hawley","Corporate","Eldon Base for stackable storage shelf, platinum","Office Supplies","Storage","Eldon"
"CA-2015-100916","284","2015-10-21 00:00:00","Newport News","Virginia","South","United States","23602","2015-10-26 00:00:00","Standard Class","38","820","4","0","112","0.19","591","Frank Hawley","Corporate","Hon 2111 Invitation Series Straight Table","Furniture","Tables","Hon"
"CA-2015-100972","223","2015-11-19 00:00:00","Salt Lake City","Utah","West","United States","84106","2015-11-24 00:00:00","Second Class","39","1678","3","0","80","0.48","166","Dennis Bolton","Home Office","Xerox 1888","Office Supplies","Paper","Xerox"
"CA-2015-101147","504","2015-12-02 00:00:00","Chicago","Illinois","Central","United States","60623","2015-12-04 00:00:00","First Class","40","1502","1","0.8","-6","-2.65","2","Matt Collins","Consumer","Staple holder","Office Supplies","Appliances","Staple holder"
"CA-2015-101175","196","2015-12-09 00:00:00","Mesa","Arizona","West","United States","85204","2015-12-14 00:00:00","Standard Class","41","53","6","0.2","-1","-0.01","101","Dario Medina","Corporate","Acco Perma 3000 Stacking Storage Drawers","Office Supplies","Storage","Acco"
"CA-2015-101266","527","2015-08-27 00:00:00","Springfield","Virginia","South","United States","22153","2015-08-30 00:00:00","Second Class","42","1689","2","0","6","0.48","13","Michael Moore","Consumer","Xerox 1898","Office Supplies","Paper","Xerox"
"CA-2015-101364","734","2015-12-22 00:00:00","New York City","New York","East","United States","10011","2015-12-26 00:00:00","Standard Class","43","999","13","0.2","100","0.34","297","Tamara Willingham","Home Office","Lock-Up Easel 'Spel-Binder'","Office Supplies","Binders","Other"
"CA-2015-101392","42","2015-12-07 00:00:00","Seattle","Washington","West","United States","98103","2015-12-13 00:00:00","Standard Class","44","112","7","0","70","0.26","269","Ann Steele","Home Office","Advantus Rolling Drawer Organizers","Office Supplies","Storage","Advantus"
"CA-2015-101427","37","2015-12-26 00:00:00","Philadelphia","Pennsylvania","East","United States","19140","2015-12-30 00:00:00","Standard Class","45","590","3","0.2","1","0.14","8","Andy Yotov","Corporate","Eldon Spacemaker Box, Quick-Snap Lid, Clear","Office Supplies","Art","Eldon"
"CA-2015-101462","82","2015-04-20 00:00:00","Los Angeles","California","West","United States","90045","2015-04-25 00:00:00","Standard Class","46","727","4","0","28","0.46","60","Benjamin Patterson","Consumer","GE 4 Foot Flourescent Tube, 40 Watt","Furniture","Furnishings","GE"
"CA-2015-101476","698","2015-09-12 00:00:00","New Rochelle","New York","East","United States","10801","2015-09-13 00:00:00","First Class","47","605","1","0","30","0.43","70","Shirley Daniels","Home Office","Epson WorkForce WF-2530 All-in-One Printer, Copier Scanner","Technology","Machines","Epson"
"CA-2015-101560","149","2015-11-28 00:00:00","Columbia","South Carolina","South","United States","29203","2015-12-01 00:00:00","Second Class","48","475","4","0","4","0.33","13","Chris Selesnick","Corporate","Crayola Colored Pencils","Office Supplies","Art","Crayola"
"CA-2015-101560","149","2015-11-28 00:00:00","Columbia","South Carolina","South","United States","29203","2015-12-01 00:00:00","Second Class","49","715","3","0","22","0.49","46","Chris Selesnick","Corporate","GBC Twin Loop Wire Binding Elements, 9/16"" Spine, Black","Office Supplies","Binders","GBC"
"CA-2015-101560","149","2015-11-28 00:00:00","Columbia","South Carolina","South","United States","29203","2015-12-01 00:00:00","Second Class","50","1728","7","0","40","0.47","86","Chris Selesnick","Corporate","Xerox 1933","Office Supplies","Paper","Xerox"
"CA-2015-101560","149","2015-11-28 00:00:00","Columbia","South Carolina","South","United States","29203","2015-12-01 00:00:00","Second Class","51","559","5","0","44","0.11","398","Chris Selesnick","Corporate","Eldon Cleatmat Plus Chair Mats for High Pile Carpets","Furniture","Furnishings","Eldon"
"CA-2015-101602","539","2015-12-15 00:00:00","El Paso","Texas","Central","United States","79907","2015-12-18 00:00:00","First Class","52","147","3","0.2","-9","-0.23","41","Mick Crebagga","Consumer","ARKON Windshield Dashboard Air Vent Car Mount Holder","Technology","Phones","Other"
"CA-2015-101602","539","2015-12-15 00:00:00","El Paso","Texas","Central","United States","79907","2015-12-18 00:00:00","First Class","53","996","5","0.3","-22","-0.03","763","Mick Crebagga","Consumer","Lifetime Advantage Folding Chairs, 4/Carton","Furniture","Chairs","Other"
"CA-2015-101770","415","2015-03-31 00:00:00","Miami","Florida","South","United States","33180","2015-04-04 00:00:00","Standard Class","54","257","1","0.7","-1","-0.7","2","Karen Bern","Corporate","Avery Hole Reinforcements","Office Supplies","Binders","Avery"
"CA-2015-101833","283","2015-11-17 00:00:00","New York City","New York","East","United States","10024","2015-11-22 00:00:00","Second Class","55","1475","3","0","17","0.5","34","Frank Gastineau","Home Office","Southworth 100% Cotton The Best Paper","Office Supplies","Paper","Southworth"
"CA-2015-101931","757","2015-10-28 00:00:00","Los Angeles","California","West","United States","90049","2015-10-31 00:00:00","First Class","56","1445","2","0","0","0.01","6","Todd Sumrall","Corporate","Serrated Blade or Curved Handle Hand Letter Openers","Office Supplies","Supplies","Other"
"CA-2015-101931","757","2015-10-28 00:00:00","Los Angeles","California","West","United States","90049","2015-10-31 00:00:00","First Class","57","260","2","0.2","2","0.31","7","Todd Sumrall","Corporate","Avery Non-Stick Binders","Office Supplies","Binders","Avery"
"CA-2015-101931","757","2015-10-28 00:00:00","Los Angeles","California","West","United States","90049","2015-10-31 00:00:00","First Class","58","583","5","0","38","0.27","141","Todd Sumrall","Corporate","Eldon Portable Mobile Manager","Office Supplies","Storage","Eldon"
"CA-2015-101931","757","2015-10-28 00:00:00","Los Angeles","California","West","United States","90049","2015-10-31 00:00:00","First Class","59","1307","2","0","14","0.03","481","Todd Sumrall","Corporate","Premier Automatic Letter Opener","Office Supplies","Supplies","Other"
"CA-2015-101931","757","2015-10-28 00:00:00","Los Angeles","California","West","United States","90049","2015-10-31 00:00:00","First Class","60","1196","6","0.15","-36","-0.06","617","Todd Sumrall","Corporate","O'Sullivan Living Dimensions 2-Shelf Bookcases","Furniture","Bookcases","O'Sullivan"
"CA-2015-102008","660","2015-09-30 00:00:00","New York City","New York","East","United States","10011","2015-10-04 00:00:00","Standard Class","61","1572","1","0","24","0.5","49","Russell Applegate","Consumer","Tops Green Bar Computer Printout Paper","Office Supplies","Paper","Other"
"CA-2015-102085","400","2015-10-04 00:00:00","Seattle","Washington","West","United States","98115","2015-10-09 00:00:00","Standard Class","62","230","4","0","14","0.47","29","Joy Daniels","Consumer","Avery 519","Office Supplies","Labels","Avery"
"CA-2015-102274","204","2015-11-21 00:00:00","Richmond","Kentucky","South","United States","40475","2015-11-26 00:00:00","Standard Class","63","1137","3","0","1","0.27","5","Dave Hallsten","Corporate","Newell 322","Office Supplies","Art","Newell"
"CA-2015-102274","204","2015-11-21 00:00:00","Richmond","Kentucky","South","United States","40475","2015-11-26 00:00:00","Standard Class","64","1001","1","0","10","0.27","37","Dave Hallsten","Corporate","Logitech B530 USB Headset - headset - Full size, Binaural","Technology","Phones","Logitech"
"CA-2015-102274","204","2015-11-21 00:00:00","Richmond","Kentucky","South","United States","40475","2015-11-26 00:00:00","Standard Class","65","1483","3","0","10","0.05","194","Dave Hallsten","Corporate","Space Solutions Commercial Steel Shelving","Office Supplies","Storage","Space Solutions"
"CA-2015-102274","204","2015-11-21 00:00:00","Richmond","Kentucky","South","United States","40475","2015-11-26 00:00:00","Standard Class","66","1111","6","0","302","0.48","629","Dave Hallsten","Corporate","Multicolor Computer Printout Paper","Office Supplies","Paper","Other"
"CA-2015-102295","265","2015-11-24 00:00:00","Sacramento","California","West","United States","95823","2015-11-26 00:00:00","Second Class","67","758","1","0.2","-18","-0.15","121","Erica Hackney","Consumer","Global Leather & Oak Executive Chair, Burgundy","Furniture","Chairs","Global"
"CA-2015-102330","57","2015-12-29 00:00:00","Brentwood","California","West","United States","94513","2016-01-03 00:00:00","Standard Class","68","122","6","0","44","0.5","89","Arianne Irving","Consumer","Alphabetical Labels for Top Tab Filing","Office Supplies","Labels","Other"
"CA-2015-102330","57","2015-12-29 00:00:00","Brentwood","California","West","United States","94513","2016-01-03 00:00:00","Standard Class","69","884","4","0.2","36","0.11","320","Arianne Irving","Consumer","HTC One","Technology","Phones","HTC"
"CA-2015-102645","336","2015-01-23 00:00:00","Las Vegas","Nevada","West","United States","89115","2015-01-28 00:00:00","Standard Class","70","1746","6","0","19","0.48","40","Ionia McGrath","Consumer","Xerox 195","Office Supplies","Paper","Xerox"
"CA-2015-102652","37","2015-04-06 00:00:00","Los Angeles","California","West","United States","90049","2015-04-12 00:00:00","Standard Class","71","1815","3","0","9","0.48","19","Andy Yotov","Corporate","Xerox 211","Office Supplies","Paper","Xerox"
"CA-2015-102652","37","2015-04-06 00:00:00","Los Angeles","California","West","United States","90049","2015-04-12 00:00:00","Standard Class","72","393","7","0","13","0.39","33","Andy Yotov","Corporate","C-Line Cubicle Keepers Polyproplyene Holder With Velcro Backings","Furniture","Furnishings","C-Line"
"CA-2015-102652","37","2015-04-06 00:00:00","Los Angeles","California","West","United States","90049","2015-04-12 00:00:00","Standard Class","73","1735","1","0","27","0.48","55","Andy Yotov","Corporate","Xerox 194","Office Supplies","Paper","Xerox"
"CA-2015-102652","37","2015-04-06 00:00:00","Los Angeles","California","West","United States","90049","2015-04-12 00:00:00","Standard Class","74","1537","2","0","16","0.17","92","Andy Yotov","Corporate","Tenex B1-RE Series Chair Mats for Low Pile Carpets","Furniture","Furnishings","Tenex"
"CA-2015-102673","441","2015-11-01 00:00:00","Charlotte","North Carolina","South","United States","28205","2015-11-05 00:00:00","Standard Class","75","1507","5","0.2","1","0.19","8","Ken Heidel","Corporate","Staples","Office Supplies","Fasteners","Other"
"CA-2015-102673","441","2015-11-01 00:00:00","Charlotte","North Carolina","South","United States","28205","2015-11-05 00:00:00","Standard Class","76","1135","3","0.2","1","0.09","10","Ken Heidel","Corporate","Newell 320","Office Supplies","Art","Newell"
"CA-2015-102673","441","2015-11-01 00:00:00","Charlotte","North Carolina","South","United States","28205","2015-11-05 00:00:00","Standard Class","77","224","12","0.2","16","0.33","48","Ken Heidel","Corporate","Avery 513","Office Supplies","Labels","Avery"
"CA-2015-102673","441","2015-11-01 00:00:00","Charlotte","North Carolina","South","United States","28205","2015-11-05 00:00:00","Standard Class","78","435","9","0.2","110","0.11","979","Ken Heidel","Corporate","Cisco IP Phone 7961G VoIP phone - Dark gray","Technology","Phones","Cisco"
"CA-2015-102869","475","2015-09-09 00:00:00","Philadelphia","Pennsylvania","East","United States","19140","2015-09-14 00:00:00","Second Class","79","1814","3","0.2","5","0.35","16","Logan Currie","Consumer","Xerox 210","Office Supplies","Paper","Xerox"
"CA-2015-102869","475","2015-09-09 00:00:00","Philadelphia","Pennsylvania","East","United States","19140","2015-09-14 00:00:00","Second Class","80","1056","3","0.2","5","0.29","17","Logan Currie","Consumer","Master Caster Door Stop, Large Neon Orange","Furniture","Furnishings","Master Caster"
"CA-2015-102869","475","2015-09-09 00:00:00","Philadelphia","Pennsylvania","East","United States","19140","2015-09-14 00:00:00","Second Class","81","1363","6","0.2","-5","-0.08","65","Logan Currie","Consumer","Rosewill 107 Normal Keys USB Wired Standard Keyboard","Technology","Accessories","Other"
"CA-2015-102869","475","2015-09-09 00:00:00","Philadelphia","Pennsylvania","East","United States","19140","2015-09-14 00:00:00","Second Class","82","1295","1","0.4","-32","-0.23","136","Logan Currie","Consumer","Polycom SoundPoint IP 450 VoIP phone","Technology","Phones","Polycom"
"CA-2015-102988","312","2015-04-05 00:00:00","Alexandria","Virginia","South","United States","22304","2015-04-09 00:00:00","Second Class","83","1754","2","0","6","0.49","13","Greg Maxwell","Corporate","Xerox 1957","Office Supplies","Paper","Xerox"
"CA-2015-102988","312","2015-04-05 00:00:00","Alexandria","Virginia","South","United States","22304","2015-04-09 00:00:00","Second Class","84","475","7","0","8","0.33","23","Greg Maxwell","Corporate","Crayola Colored Pencils","Office Supplies","Art","Crayola"
"CA-2015-102988","312","2015-04-05 00:00:00","Alexandria","Virginia","South","United States","22304","2015-04-09 00:00:00","Second Class","85","1136","7","0","7","0.29","23","Greg Maxwell","Corporate","Newell 321","Office Supplies","Art","Newell"
"CA-2015-102988","312","2015-04-05 00:00:00","Alexandria","Virginia","South","United States","22304","2015-04-09 00:00:00","Second Class","86","159","1","0","8","0.29","29","Greg Maxwell","Corporate","AT&T CL82213","Technology","Phones","AT&T"
"CA-2015-102988","312","2015-04-05 00:00:00","Alexandria","Virginia","South","United States","22304","2015-04-09 00:00:00","Second Class","87","1050","5","0","83","0.02","4164","Greg Maxwell","Corporate","Martin Yale Chadless Opener Electric Letter Opener","Office Supplies","Supplies","Martin-Yale"
"CA-2015-103058","18","2015-07-23 00:00:00","New York City","New York","East","United States","10011","2015-07-24 00:00:00","First Class","88","421","2","0","8","0.08","100","Alejandro Grove","Consumer","Case Logic 2.4GHz Wireless Keyboard","Technology","Accessories","Other"
"CA-2015-103086","277","2015-10-17 00:00:00","Houston","Texas","Central","United States","77095","2015-10-19 00:00:00","Second Class","89","678","2","0.6","-2","-0.3","5","Evan Bailliet","Consumer","G.E. Longer-Life Indoor Recessed Floodlight Bulbs","Furniture","Furnishings","G. E."
"CA-2015-103100","7","2015-12-20 00:00:00","Indianapolis","Indiana","Central","United States","46203","2015-12-23 00:00:00","First Class","90","195","1","0","2","0.47","4","Adrian Barton","Consumer","Avery 487","Office Supplies","Labels","Avery"
"CA-2015-103100","7","2015-12-20 00:00:00","Indianapolis","Indiana","Central","United States","46203","2015-12-23 00:00:00","First Class","91","898","3","0","497","0.45","1104","Adrian Barton","Consumer","Ibico Ibimaster 300 Manual Binding System","Office Supplies","Binders","Ibico"
"CA-2015-103191","785","2015-09-22 00:00:00","Chicago","Illinois","Central","United States","60653","2015-09-27 00:00:00","Standard Class","92","1377","3","0.2","-83","-0.25","332","Vivek Grady","Corporate","SAFCO Commercial Wire Shelving, Black","Office Supplies","Storage","SAFCO"
"CA-2015-103219","81","2015-11-09 00:00:00","New York City","New York","East","United States","10035","2015-11-13 00:00:00","Standard Class","93","548","9","0","21","0.38","57","Benjamin Farhat","Home Office","Eldon 200 Class Desk Accessories, Black","Furniture","Furnishings","Eldon"
"CA-2015-103310","311","2015-05-10 00:00:00","San Jose","California","West","United States","95123","2015-05-15 00:00:00","Standard Class","94","1480","2","0","19","0.48","40","Greg Matthias","Consumer","Southworth 25% Cotton Premium Laser Paper and Envelopes","Office Supplies","Paper","Southworth"
"CA-2015-103310","311","2015-05-10 00:00:00","San Jose","California","West","United States","95123","2015-05-15 00:00:00","Standard Class","95","75","6","0","11","0.27","41","Greg Matthias","Consumer","Acme Design Stainless Steel Bent Scissors","Office Supplies","Supplies","Acme"
"CA-2015-103310","311","2015-05-10 00:00:00","San Jose","California","West","United States","95123","2015-05-15 00:00:00","Standard Class","96","846","1","0.2","32","0.13","257","Greg Matthias","Consumer","Hon Pagoda Stacking Chairs","Furniture","Chairs","Hon"
"CA-2015-103310","311","2015-05-10 00:00:00","San Jose","California","West","United States","95123","2015-05-15 00:00:00","Standard Class","97","1629","5","0.2","125","0.09","1432","Greg Matthias","Consumer","Wilson Electronics DB Pro Signal Booster","Technology","Phones","Other"
"CA-2015-103317","234","2015-07-05 00:00:00","Palm Coast","Florida","South","United States","32137","2015-07-08 00:00:00","First Class","98","1641","5","0.7","-7","-0.7","10","Don Miller","Corporate","Wilson Jones Four-Pocket Poly Binders","Office Supplies","Binders","Wilson Jones"
"CA-2015-103317","234","2015-07-05 00:00:00","Palm Coast","Florida","South","United States","32137","2015-07-08 00:00:00","First Class","99","108","2","0.2","5","0.28","20","Don Miller","Corporate","Advantus Panel Wall Certificate Holder - 8.5x11","Furniture","Furnishings","Advantus"
"CA-2015-103317","234","2015-07-05 00:00:00","Palm Coast","Florida","South","United States","32137","2015-07-08 00:00:00","First Class","100","1040","3","0.2","16","0.08","213","Don Miller","Corporate","Luxo Adjustable Task Clamp Lamp","Furniture","Furnishings","Luxo"
"CA-2015-103331","420","2015-08-26 00:00:00","Newark","Delaware","East","United States","19711","2015-09-01 00:00:00","Standard Class","101","274","1","0","2","0.46","3","Karl Braun","Consumer","Avoid Verbal Orders Carbonless Minifold Book","Office Supplies","Paper","Other"
"CA-2015-103331","420","2015-08-26 00:00:00","Newark","Delaware","East","United States","19711","2015-09-01 00:00:00","Standard Class","102","91","4","0","4","0.38","11","Karl Braun","Consumer","Acrylic Self-Standing Desk Frames","Furniture","Furnishings","Other"
"CA-2015-103331","420","2015-08-26 00:00:00","Newark","Delaware","East","United States","19711","2015-09-01 00:00:00","Standard Class","103","1776","3","0","8","0.49","17","Karl Braun","Consumer","Xerox 1978","Office Supplies","Paper","Xerox"
"CA-2015-103366","265","2015-01-15 00:00:00","Roswell","Georgia","South","United States","30076","2015-01-17 00:00:00","First Class","104","1000","5","0","66","0.44","150","Erica Hackney","Consumer","Logitech 910-002974 M325 Wireless Mouse for Web Scrolling","Technology","Accessories","Logitech"
"CA-2015-103373","117","2015-05-18 00:00:00","Cleveland","Ohio","East","United States","44105","2015-05-24 00:00:00","Standard Class","105","144","2","0.4","-169","-0.22","780","Bruce Stewart","Consumer","Apple iPhone 5","Technology","Phones","Apple"
"CA-2015-103401","303","2015-11-21 00:00:00","San Francisco","California","West","United States","94110","2015-11-26 00:00:00","Standard Class","106","1815","2","0","6","0.48","13","Georgia Rosenberg","Corporate","Xerox 211","Office Supplies","Paper","Xerox"
"CA-2015-103429","454","2015-05-30 00:00:00","New York City","New York","East","United States","10024","2015-06-01 00:00:00","First Class","107","699","2","0.2","9","0.35","26","Laurel Workman","Corporate","GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2"" x 11""","Office Supplies","Binders","GBC"
"CA-2015-103429","454","2015-05-30 00:00:00","New York City","New York","East","United States","10024","2015-06-01 00:00:00","First Class","108","1744","4","0","18","0.45","40","Laurel Workman","Corporate","Xerox 1948","Office Supplies","Paper","Xerox"
